Date,Name,Year,Letterboxd URI,Rating
2022-05-30,Scenes from a Marriage,1974,https://boxd.it/4kJC,3
2022-05-30,"Legally Blonde 2: Red, White & Blonde",2003,https://boxd.it/1Wxe,4
2022-05-31,Freaky,2020,https://boxd.it/ka42,2.5
2022-06-01,The Way Way Back,2013,https://boxd.it/4Gwq,4
2022-06-05,Kill Me Please,2015,https://boxd.it/cbcA,2
2022-06-06,Rust,2018,https://boxd.it/hDO8,3.5
2022-06-06,We Have Always Lived in the Castle,2018,https://boxd.it/eujY,3.5
2022-06-07,The Clown,2011,https://boxd.it/2MEc,3.5
2022-06-08,My Friend Dahmer,2017,https://boxd.it/fQ7W,3.5
2022-06-09,Persona,1966,https://boxd.it/29B4,3.5
2022-06-10,The Tale,2018,https://boxd.it/cOkI,4
2022-06-11,Crash,1996,https://boxd.it/29n2,2
2022-06-13,Vivarium,2019,https://boxd.it/gmVE,3.5
2022-06-13,Futuro Beach,2014,https://boxd.it/6Jcs,2.5
2022-06-15,My Left Foot: The Story of Christy Brown,1989,https://boxd.it/1WW4,4
2022-06-16,Irresistible,2020,https://boxd.it/lVwO,2.5
2022-06-19,Dark Places,2015,https://boxd.it/5ylc,3
2022-06-20,The Piano,1993,https://boxd.it/29Kq,3
2022-06-20,Loveling,2018,https://boxd.it/hEv2,3
2022-06-21,The Bélier Family,2014,https://boxd.it/9HYg,2
2022-06-22,Bald Mountain,2013,https://boxd.it/6Jws,3.5
2022-06-23,Bob Spit: We Do Not Like People,2021,https://boxd.it/vmds,3
2022-06-24,Body,2015,https://boxd.it/a8b6,3.5
2022-06-26,Young Adult,2011,https://boxd.it/nn2,3
2022-06-26,Memoirs of a Geisha,2005,https://boxd.it/27TA,3
2022-06-27,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2022-06-30,Valentine,2001,https://boxd.it/1UVI,3
2022-07-01,Scarface,1983,https://boxd.it/2b7g,3
2022-07-02,Maids,2001,https://boxd.it/208C,4
2022-07-04,Bowling for Columbine,2002,https://boxd.it/28Ls,3.5
2022-07-05,Friday the 13th,1980,https://boxd.it/24fs,3
2022-07-07,Lovelace,2013,https://boxd.it/2H7W,3.5
2022-07-10,Shame,2011,https://boxd.it/2CxU,2
2022-07-11,It's a Wonderful Life,1946,https://boxd.it/28xA,3.5
2022-07-11,The Craft,1996,https://boxd.it/1Zai,3.5
2022-07-12,CODA,2021,https://boxd.it/tbf4,3.5
2022-07-13,The Orphanage,2007,https://boxd.it/2bfE,4
2022-07-14,Perfect Blue,1997,https://boxd.it/1W7A,4.5
2022-07-15,Friday the 13th Part 2,1981,https://boxd.it/1XXC,3
2022-07-15,Mona Lisa Smile,2003,https://boxd.it/1T0Q,3.5
2022-07-16,The Beautiful Person,2008,https://boxd.it/152W,2
2022-07-19,Zola,2020,https://boxd.it/jEWQ,3.5
2022-07-21,Taxi Driver,1976,https://boxd.it/2b8y,3.5
2022-07-22,Durval Discos,2002,https://boxd.it/2yEs,4
2022-07-23,Widows,2018,https://boxd.it/e6gc,3
2022-07-25,After Darkness,2019,https://boxd.it/eDk2,1.5
2022-07-26,The Black Phone,2021,https://boxd.it/sqFE,4.5
2022-07-27,Anatomy of a Murder,1959,https://boxd.it/2baa,3.5
2022-07-30,A Brighter Summer Day,1991,https://boxd.it/1Luy,2.5
2022-07-30,Share,2019,https://boxd.it/isk4,2
2022-07-31,The Beaver,2011,https://boxd.it/CSa,3
2022-08-01,Xica,1976,https://boxd.it/70Ty,3
2022-08-01,Justice,2004,https://boxd.it/6JSS,3.5
2022-08-02,Hot Pursuit,2015,https://boxd.it/83Vu,3.5
2022-08-04,Chicago,2002,https://boxd.it/28zm,4
2022-08-05,The Boy in the Mirror,2014,https://boxd.it/7tI0,3
2022-08-08,The Snowman,2017,https://boxd.it/cVcc,2
2022-08-08,Malcolm X,1992,https://boxd.it/27WE,3.5
2022-08-09,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,4
2022-08-12,Repulsion,1965,https://boxd.it/1TKu,3
2022-08-13,Hedwig and the Angry Inch,2001,https://boxd.it/1Qfe,4
2022-08-15,Promising Young Woman,2020,https://boxd.it/loRE,5
2022-08-15,Whisky,2004,https://boxd.it/19n0,2.5
2022-08-15,About 12,2014,https://boxd.it/9AHs,2.5
2022-08-15,Man on the Moon,1999,https://boxd.it/281k,4.5
2022-08-15,Halloween,1978,https://boxd.it/2wRu,3.5
2022-08-16,Albert Nobbs,2011,https://boxd.it/2wzg,2.5
2022-08-16,The Pledge,2001,https://boxd.it/22hc,2.5
2022-08-17,Black Sunday,1960,https://boxd.it/1rlG,3
2022-08-18,Cosmos: A Personal Voyage,1980,https://boxd.it/erfu,5
2022-08-18,Son of the South,2020,https://boxd.it/pCJ8,3
2022-08-19,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,3.5
2022-08-21,Air Doll,2009,https://boxd.it/1wuS,3
2022-08-21,Relic,2020,https://boxd.it/jEwS,2.5
2022-08-21,Carrie,1976,https://boxd.it/20ZQ,3.5
2022-08-22,North Country,2005,https://boxd.it/1Y10,3
2022-08-22,Love for Sale,2006,https://boxd.it/3jjw,3
2022-08-24,I Confess,1953,https://boxd.it/1lPK,2.5
2022-08-25,Green Room,2015,https://boxd.it/a75m,3
2022-08-25,Respect,2021,https://boxd.it/lPDE,3.5
2022-08-26,Felidae,1994,https://boxd.it/1ZrI,3
2022-08-29,Jim & Andy: The Great Beyond,2017,https://boxd.it/gO36,3.5
2022-08-29,Weathering with You,2019,https://boxd.it/kPxE,3
2022-08-29,Flatland,2007,https://boxd.it/bc6w,2.5
2022-08-31,Shutter,2004,https://boxd.it/1JbY,3.5
2022-09-03,The Art of Loving: Story of Michalina Wislocka,2017,https://boxd.it/fjSA,3.5
2022-09-04,Nope,2022,https://boxd.it/sDCe,3
2022-09-05,The Bar,2017,https://boxd.it/eRT6,1.5
2022-09-05,Boxing Helena,1993,https://boxd.it/1Hm6,3.5
2022-09-05,Rocket Science,2007,https://boxd.it/1QUQ,2.5
2022-09-07,5 Centimeters per Second,2007,https://boxd.it/16G4,2.5
2022-09-08,The Pervert's Guide to Ideology,2012,https://boxd.it/4bOI,2.5
2022-09-08,The Phantom of the Opera,2004,https://boxd.it/1XHu,3
2022-09-09,The Lodge,2019,https://boxd.it/h2c2,4
2022-09-11,The Devil's Knot,2017,https://boxd.it/h0Xq,2.5
2022-09-12,You're Next,2011,https://boxd.it/2WWK,3
2022-09-12,Angels of the Sun,2006,https://boxd.it/171Q,3.5
2022-09-14,Paprika,2006,https://boxd.it/23wW,3.5
2022-09-14,Candyman,2021,https://boxd.it/kHFg,4
2022-09-15,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,3
2022-09-16,Don't Call Me Son,2016,https://boxd.it/djN2,4
2022-09-18,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,3
2022-09-18,Spencer,2021,https://boxd.it/qPMG,2
2022-09-18,Anna Karenina,2012,https://boxd.it/3lyy,3.5
2022-09-19,Get Duked!,2019,https://boxd.it/llgK,4
2022-09-19,The Year My Parents Went on Vacation,2006,https://boxd.it/1O8A,4
2022-09-21,Calibre,2018,https://boxd.it/h0ru,3
2022-09-21,Madame Satã,2002,https://boxd.it/LO2,3.5
